authour,category,date,push,title,url
Leopardcats,3,10/06,13,音樂   Juice   WRLD     Bandit   ft   NBA   Youngboy  ,/bbs/Hip-Hop/M.1570297015.A.DE1.html
kanygolly,3,10/06,7,音樂   LMF 二零一九,/bbs/Hip-Hop/M.1570315076.A.364.html
freemanlex,3,10/06,X4,音樂   紅色   山河 版     說唱圈 全明星,/bbs/Hip-Hop/M.1570340953.A.270.html
KarlMarx,3, 9/24,4,音樂   Loopy     Nafla     FLEX,/bbs/Hip-Hop/M.1569336756.A.7B2.html
hanson90244,6, 9/25,2,問題   有類 似 新秀 － 他媽媽 不給 機會 曲風 的 歌 嗎,/bbs/Hip-Hop/M.1569341144.A.082.html
ToyotaPrius,3, 9/25,20,音樂   台灣 隊長,/bbs/Hip-Hop/M.1569343471.A.B99.html
BF1214,3, 9/25,3,音樂   JINBOHOW   TO   DO,/bbs/Hip-Hop/M.1569344140.A.2FA.html
chunx2,3, 9/25,7,音樂   陳 珊妮 成為 一個 厲害 的 普通人 ft 呂士軒,/bbs/Hip-Hop/M.1569347659.A.C2F.html
qwe123456460,3,10/05,8,音樂   Lexie   劉柏辛   好 嗎 好 啦 好 吧,/bbs/Hip-Hop/M.1570240242.A.B6C.html
MF3HD,5,10/05,5,討論   蛋堡 蜘蛛 歌曲 賞析,/bbs/Hip-Hop/M.1570264215.A.ACF.html
chunx2,3,10/05,4,音樂   Dizzy   Dizzo     去 蕪 存菁  ,/bbs/Hip-Hop/M.1570271711.A.E09.html
shane81004,3,10/05,5,音樂卡 布衣 KaBuI 耍,/bbs/Hip-Hop/M.1570272568.A.189.html
maersksea,3,10/15,6,音樂   KisosDiss   活死人   JB,/bbs/Hip-Hop/M.1571136499.A.BEE.html
henryhuang17,3,10/15,5,音樂   長 庚嘻研     NBA   Cypher 庚生 於 籃,/bbs/Hip-Hop/M.1571137744.A.96D.html
Mezerized,5,10/15,27,討論   有 沒 有 推薦 西岸 風 的 中文 饒舌,/bbs/Hip-Hop/M.1571143198.A.C18.html
bujoiuu,11, 9/27,5,讓 票   急   929 夜貓 闖天關   2 張,/bbs/Hip-Hop/M.1569582238.A.680.html
jimluvssally,3, 9/27,9,音樂   範例 三 野火 燒不盡,/bbs/Hip-Hop/M.1569584778.A.C89.html
mhfo3035,3, 9/28,52,音樂   陳 嫺 靜 I   Wanna   Be  ,/bbs/Hip-Hop/M.1569608461.A.468.html
markxmusic,3, 9/28,42,音樂     台大 嘻研 2019cypher   文藝 復 興,/bbs/Hip-Hop/M.1569644328.A.C14.html
ChengGong301,3,10/06,18,音樂   wannasleep     Moving   On   Ft 湯捷,/bbs/Hip-Hop/M.1570362175.A.037.html
wang82790,3,10/06,6,音樂   李玖哲 Nicky   Lee   featFlowsik 你 懂個 屁,/bbs/Hip-Hop/M.1570362507.A.496.html
togobo9411,3,10/06,5,音樂   紅色   幼稚 園殺 手,/bbs/Hip-Hop/M.1570363409.A.D9F.html
aabbccdde,5,10/06,22,討論   徐東賢   Big   Naughty 簽約   H1ghr   Music,/bbs/Hip-Hop/M.1570375609.A.1C9.html
st797912,5,10/07,34,討論   請 推薦 像 Kendrick   Lamar 這樣 的 歌手,/bbs/Hip-Hop/M.1570416054.A.296.html
Tredy8182,4, 9/25,8,活動   8BallYELL   OUT   MY   EightVol2   ＠ 台北,/bbs/Hip-Hop/M.1569375860.A.8E2.html
yuxds,10, 9/25,3,Re   音樂   台灣 隊長,/bbs/Hip-Hop/M.1569380861.A.094.html
OPPAISuki,10, 9/25,X2,Re   音樂   台灣 隊長,/bbs/Hip-Hop/M.1569384343.A.2FD.html
kwr1721,10, 9/25,2,Re   推薦   兩岸 diss 戰 ～ 顏社國 蛋圍 事,/bbs/Hip-Hop/M.1569397246.A.76D.html
OPPAISuki,3, 9/21,2,音樂   聲林 之王 2 吳霏 騙 吃 騙 吃 改編,/bbs/Hip-Hop/M.1569064563.A.269.html
sean1004,7, 9/21,1,創作   小屋,/bbs/Hip-Hop/M.1569077204.A.422.html
e124939147,11, 9/22,3,Bomplex   from   Cynical   Boyz     Gamer,/bbs/Hip-Hop/M.1569148268.A.865.html
jerry0604321,5, 9/22,85,討論   求 推薦 國外 饒 舌 歌手,/bbs/Hip-Hop/M.1569165275.A.0DB.html
shane81004,3,10/05,8,音樂   Lil   KLuffyGambler 塑膠 Remix,/bbs/Hip-Hop/M.1570272748.A.CA4.html
Luvsic,3,10/05,4,音樂   Robert   Glasper     Fuck   Yo   Feelings,/bbs/Hip-Hop/M.1570279228.A.C99.html
KoreanFish,3, 9/28,1,音樂   8MileYang   MC   Jin,/bbs/Hip-Hop/M.1569649750.A.DFC.html
hxxsexkjxn,4, 9/28,13,活動   1030Legacy 大嘻地 20 參劈 小人 PNC,/bbs/Hip-Hop/M.1569670622.A.060.html
chunx2,3, 9/28,9,音樂   孫尤安   yoanna   sun   最近 怎麼樣,/bbs/Hip-Hop/M.1569685635.A.146.html
joywilliamjo,5,10/07,30,討論   sik   k 票 這麼 誇張 的 嗎,/bbs/Hip-Hop/M.1570418126.A.A9C.html
apple7433922,7,10/07,4,創作   饒影 忍者,/bbs/Hip-Hop/M.1570463991.A.CCD.html
eastgone,5,10/08,4,討論   中國 饒 舌 歌手 會 出歌 diss   NBA 嗎,/bbs/Hip-Hop/M.1570470003.A.B7A.html
LamentBoy,7,10/08,27,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1570476828.A.6B6.html
qwe123456460,3,10/08,13,音樂   劉聰   KeyL   My   Boo,/bbs/Hip-Hop/M.1570503615.A.390.html
Lein86,7,10/08,4,創作   自 製 的 Beat   分享 交流,/bbs/Hip-Hop/M.1570528889.A.27E.html
foam0406,6, 9/25,16,問題   國外 有 大支 這種 幫 執政黨 寫 歌 的 例子 嗎,/bbs/Hip-Hop/M.1569404320.A.9EB.html
chunx2,3, 9/25,15,音樂   DJ   GROUND 嘻哈是 窮人 在 聽 的,/bbs/Hip-Hop/M.1569419281.A.823.html
owliper,3, 9/26,5,音樂   nba   youngboyoutside   today  ,/bbs/Hip-Hop/M.1569430204.A.52F.html
LamentBoy,7, 9/26,9,創作   自己 做 的 狗 beat,/bbs/Hip-Hop/M.1569437644.A.3B2.html
sixx,5, 9/26,37,討論   Netflix   嘻哈王   正式 預告,/bbs/Hip-Hop/M.1569465749.A.63E.html
SyunYin,5, 9/23,55,討論   從 金曲 獎回 顧嘻哈饒 舌 的 崛起 下,/bbs/Hip-Hop/M.1569180591.A.3A1.html
mickey0223w,3, 9/23,5,音樂   艾文 玫瑰 少年   聲林 之王 2 未撥 歌曲,/bbs/Hip-Hop/M.1569187885.A.C92.html
baseballl,5, 9/23,X2,討論   高爾宣 算是 台灣 饒 舌 之 王 了 嗎,/bbs/Hip-Hop/M.1569223702.A.CD8.html
owliper,4, 9/23,8,活動   gogoro   live   it   up 派 對,/bbs/Hip-Hop/M.1569239068.A.E72.html
onioneggss,9, 9/19,1,趣味   呱吉 直播   Leo 王   迪拉胖,/bbs/Hip-Hop/M.1568905655.A.603.html
ooo93301,7, 9/19,15,創作   貳 喬     我 是 羅 大佑,/bbs/Hip-Hop/M.1568907447.A.50C.html
frank0810,3, 9/20,14,音樂   Gang   Starr   J   Cole     Family     Loyalty,/bbs/Hip-Hop/M.1568937511.A.47D.html
kevin5416789,4, 9/20,4,活動   111113   day   in   vegasJColeKdot,/bbs/Hip-Hop/M.1568945292.A.9FB.html
joywilliamjo,5, 9/29,33,討論   jay   park 演唱 會 概述,/bbs/Hip-Hop/M.1569760960.A.21B.html
rrrivz,5, 9/29,70,討論   夜貓 闖天 關太扯 了 吧,/bbs/Hip-Hop/M.1569767811.A.97D.html
timmy367,3, 9/29,爆,音樂 蛋堡   Soft   Lipa     蜘蛛   The   Spider,/bbs/Hip-Hop/M.1569695563.A.C9C.html
kerwinboy,3, 9/29,7,音樂   Dababy 新 專輯   KIRK   釋出,/bbs/Hip-Hop/M.1569702503.A.129.html
cdca3345,7, 9/29,19,創作   為 韓國瑜 寫 了 一首歌,/bbs/Hip-Hop/M.1569757185.A.E9E.html
tootallchop,3,10/08,4,音樂   Danny   Brown     uknowhatimsayin ¿   新 專輯,/bbs/Hip-Hop/M.1570532666.A.2DA.html
sbflight,5,10/08,11,討論   求 推薦 類似 Lofi 的 歌曲,/bbs/Hip-Hop/M.1570547813.A.4EA.html
LamentBoy,7,10/09,37,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1570551063.A.D23.html
HsiangEnHsu,6, 9/26,4,問題   howard,/bbs/Hip-Hop/M.1569479390.A.304.html
AKAJ,7, 9/26,1,創作   簡單 oldschool,/bbs/Hip-Hop/M.1569487271.A.663.html
chunx2,3, 9/26,16,音樂   ZENBO   MONOPOLY   Remix,/bbs/Hip-Hop/M.1569501355.A.202.html
yang0405,5, 9/27,23,討論   高爾宣 最 猛 的 flow 是 那首 116 嗎,/bbs/Hip-Hop/M.1569514490.A.D75.html
KarlMarx,3, 9/23,5,音樂   WennyHasWingsBurn   It   Up   ft   奎 仔小柳,/bbs/Hip-Hop/M.1569245198.A.A6F.html
okhappy127,5, 9/23,8,討論   YZ 于耀智 的 實力,/bbs/Hip-Hop/M.1569250013.A.AB2.html
f3505413,6, 9/24,5,問題   有人 知道 這是 什麼 舞步 嗎,/bbs/Hip-Hop/M.1569255970.A.9FB.html
baseballl,5, 9/24,9,討論   高爾宣 FB,/bbs/Hip-Hop/M.1569264884.A.DDB.html
nayeonmywife,3, 9/20,19,音樂   陳 零九   feat   熊仔     鬼混 Fool   Around,/bbs/Hip-Hop/M.1568957047.A.369.html
henryhuang17,0, 9/20,6,公告   倉庫 9 天   lagay,/bbs/Hip-Hop/M.1568970466.A.E5B.html
MrPasserby,6, 9/20,11,問題   找 不到 她 和 時間 跳華爾滋,/bbs/Hip-Hop/M.1568973126.A.098.html
iverson927,5, 9/20,爆,討論   最觸動 你 靈魂 的 一首歌,/bbs/Hip-Hop/M.1568974395.A.221.html
chunx2,3, 9/20,14,音樂   顏社春艷     88 的車   Official   Audio,/bbs/Hip-Hop/M.1568975574.A.125.html
yang0405,3, 9/20,7,音樂   CHING   G   SQUADWATERMELON,/bbs/Hip-Hop/M.1568981669.A.6F3.html
yang0405,3, 9/20,6,音樂   Wackyboys 舞池 喇一 喇,/bbs/Hip-Hop/M.1568983559.A.D86.html
foxface,3, 9/29,2,音樂   黑人 李逵 芒種,/bbs/Hip-Hop/M.1569770025.A.0B2.html
bassmaster,3, 9/30,9,音樂   大 傻 牛 得 拿 來鬥,/bbs/Hip-Hop/M.1569776023.A.469.html
Honeyogurt,10, 9/30,X4,Re   討論   夜貓 闖天 關太扯 了 吧,/bbs/Hip-Hop/M.1569785946.A.312.html
